"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"no_change",329,0,6,"student","SVP Gaussian",0.00100000000000033,34,16.1246200607903,47,NA
"no_change",424,0,6,"student","SVP Gaussian",0.00200000000000022,31,30.8490566037736,122,NA
"no_change",545,0,6,"student","SVP Gaussian",0.00199999999999978,32,32.3027522935779,135,NA
"no_change",702,0,6,"student","SVP Gaussian",0.00200000000000022,39,30.3048433048433,112,NA
"no_change",903,0,6,"student","SVP Gaussian",0.00300000000000011,48,38.732004429679,195,NA
"no_change",1162,0,6,"student","SVP Gaussian",0.004,61,31.289156626506,116,NA
"no_change",1495,0,6,"student","SVP Gaussian",0.00499999999999989,82,28.2963210702341,108,NA
"no_change",1923,0,6,"student","SVP Gaussian",0.00700000000000012,94,35.6567862714508,193,NA
"no_change",2474,0,6,"student","SVP Gaussian",0.00999999999999979,101,40.7417138237673,202,NA
"no_change",3183,0,6,"student","SVP Gaussian",0.00999999999999979,183,30.4853911404336,157,NA
"no_change",4096,0,6,"student","SVP Gaussian",0.0150000000000001,195,36.593505859375,211,NA
"no_change",256,0,7,"student","SVP Gaussian",0,24,15.27734375,50,NA
"no_change",329,0,7,"student","SVP Gaussian",0.00099999999999989,17,26.838905775076,78,NA
"no_change",424,0,7,"student","SVP Gaussian",0.00099999999999989,45,14.1792452830189,49,NA
"no_change",545,0,7,"student","SVP Gaussian",0.00099999999999989,35,23.4,96,NA
"no_change",702,0,7,"student","SVP Gaussian",0.00300000000000011,31,27.954415954416,104,NA
"no_change",903,0,7,"student","SVP Gaussian",0.00300000000000011,39,33.8671096345515,134,NA
"no_change",1162,0,7,"student","SVP Gaussian",0.00499999999999989,55,37.3046471600688,169,NA
"no_change",1495,0,7,"student","SVP Gaussian",0.00499999999999989,82,39.9397993311037,164,NA
"no_change",1923,0,7,"student","SVP Gaussian",0.00599999999999978,113,26.33749349974,99,NA
"no_change",2474,0,7,"student","SVP Gaussian",0.00800000000000001,116,32.3464025869038,143,NA
"no_change",3183,0,7,"student","SVP Gaussian",0.0109999999999997,151,33.650329877474,153,NA
"no_change",4096,0,7,"student","SVP Gaussian",0.0149999999999997,180,35.75390625,189,NA
"no_change",256,0,8,"student","SVP Gaussian",0,15,23.7734375,71,NA
"no_change",329,0,8,"student","SVP Gaussian",0.00099999999999989,21,22.8297872340426,83,NA
"no_change",424,0,8,"student","SVP Gaussian",0.00099999999999989,31,33.8490566037736,140,NA
"no_change",545,0,8,"student","SVP Gaussian",0.00099999999999989,43,17.7357798165138,58,NA
"no_change",702,0,8,"student","SVP Gaussian",0.00199999999999978,43,25.6538461538461,102,NA
"no_change",903,0,8,"student","SVP Gaussian",0.00299999999999967,55,26.9933554817276,126,NA
"no_change",1162,0,8,"student","SVP Gaussian",0.004,59,27.8450946643719,106,NA
"no_change",1495,0,8,"student","SVP Gaussian",0.00499999999999989,66,38.5123745819398,157,NA
"no_change",1923,0,8,"student","SVP Gaussian",0.00700000000000012,90,32.9271970878835,174,NA
"no_change",2474,0,8,"student","SVP Gaussian",0.00800000000000001,115,34.3581244947453,162,NA
"no_change",3183,0,8,"student","SVP Gaussian",0.0110000000000001,180,28.7785108388313,121,NA
"no_change",4096,0,8,"student","SVP Gaussian",0.0139999999999998,216,32.568603515625,161,NA
"no_change",256,0,9,"student","SVP Gaussian",0.00099999999999989,27,12.921875,37,NA
"no_change",329,0,9,"student","SVP Gaussian",0.00100000000000033,20,30.4924012158055,79,NA
"no_change",424,0,9,"student","SVP Gaussian",0.000999999999999446,27,19.4339622641509,62,NA
"no_change",545,0,9,"student","SVP Gaussian",0.00200000000000067,28,29.5321100917431,100,NA
"no_change",702,0,9,"student","SVP Gaussian",0.00200000000000067,37,32.474358974359,106,NA
"no_change",903,0,9,"student","SVP Gaussian",0.00400000000000045,48,34.6334440753046,158,NA
"no_change",1162,0,9,"student","SVP Gaussian",0.00299999999999923,84,21.6953528399312,83,NA
"no_change",1495,0,9,"student","SVP Gaussian",0.00499999999999989,63,44.9725752508363,241,NA
"no_change",1923,0,9,"student","SVP Gaussian",0.00600000000000023,97,26.6973478939158,97,NA
"no_change",2474,0,9,"student","SVP Gaussian",0.00800000000000001,142,28.0404203718674,99,NA
"no_change",3183,0,9,"student","SVP Gaussian",0.0119999999999996,139,35.0578071002199,148,NA
"no_change",4096,0,9,"student","SVP Gaussian",0.0170000000000003,153,45.825439453125,276,NA
"no_change",256,0,10,"student","SVP Gaussian",0.00100000000000033,14,25.07421875,74,NA
