"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"vary_k",2000,18,2,"student","SVP Gaussian",0.007000000000005,110,22.8725,107,NA
"vary_k",2000,19,2,"student","SVP Gaussian",0.00600000000000023,127,20.825,80,NA
"vary_k",2000,20,2,"student","SVP Gaussian",0.00600000000000023,135,20.028,96,NA
"vary_k",2000,21,2,"student","SVP Gaussian",0.00600000000000023,125,20.8545,92,NA
"vary_k",2000,22,2,"student","SVP Gaussian",0.00600000000000023,146,20.0635,78,NA
"vary_k",2000,23,2,"student","SVP Gaussian",0.00699999999999079,113,24.3805,85,NA
"vary_k",2000,24,2,"student","SVP Gaussian",0.00600000000000023,112,21.5925,81,NA
"vary_k",2000,25,2,"student","SVP Gaussian",0.00600000000000023,121,20.971,78,NA
"vary_k",2000,26,2,"student","SVP Gaussian",0.00600000000000023,128,22.077,75,NA
"vary_k",2000,27,2,"student","SVP Gaussian",0.00600000000000023,113,23.223,73,NA
"vary_k",2000,28,2,"student","SVP Gaussian",0.00600000000000023,115,21.31,70,NA
"vary_k",2000,29,2,"student","SVP Gaussian",0.00599999999998602,130,19.841,68,NA
"vary_k",2000,30,2,"student","SVP Gaussian",0.00499999999999545,133,19.0485,66,NA
"vary_k",2000,31,2,"student","SVP Gaussian",0.00600000000000023,121,21.1945,64,NA
"vary_k",2000,32,2,"student","SVP Gaussian",0.00600000000000023,141,17.334,62,NA
"vary_k",2000,33,2,"student","SVP Gaussian",0.00600000000000023,135,19.1755,60,NA
"vary_k",2000,34,2,"student","SVP Gaussian",0.00499999999999545,138,17.604,57,NA
"vary_k",2000,35,2,"student","SVP Gaussian",0.00600000000000023,132,18.91,58,NA
"vary_k",2000,36,2,"student","SVP Gaussian",0.00499999999999545,124,18.084,56,NA
"vary_k",2000,37,2,"student","SVP Gaussian",0.00600000000000023,130,18.113,54,NA
"vary_k",2000,38,2,"student","SVP Gaussian",0.00600000000000023,130,18.813,53,NA
"vary_k",2000,39,2,"student","SVP Gaussian",0.00499999999999545,122,18.294,51,NA
"vary_k",2000,40,2,"student","SVP Gaussian",0.00600000000000023,156,17.041,50,NA
"vary_k",2000,0,3,"student","SVP Gaussian",0.00699999999999079,109,29.555,137,NA
"vary_k",2000,1,3,"student","SVP Gaussian",0.00800000000000978,89,35.454,125,NA
"vary_k",2000,2,3,"student","SVP Gaussian",0.007000000000005,97,32.4145,167,NA
"vary_k",2000,3,3,"student","SVP Gaussian",0.00600000000000023,101,25.8615,93,NA
"vary_k",2000,4,3,"student","SVP Gaussian",0.00699999999999079,98,29.777,159,NA
"vary_k",2000,5,3,"student","SVP Gaussian",0.00699999999999079,91,35.3525,154,NA
"vary_k",2000,6,3,"student","SVP Gaussian",0.007000000000005,120,28.8359999999999,149,NA
"vary_k",2000,7,3,"student","SVP Gaussian",0.00799999999999557,81,34.602,129,NA
"vary_k",2000,8,3,"student","SVP Gaussian",0.00699999999999079,119,25.8740000000001,138,NA
"vary_k",2000,9,3,"student","SVP Gaussian",0.00600000000000023,135,22.199,87,NA
"vary_k",2000,10,3,"student","SVP Gaussian",0.00799999999999557,90,32.033,129,NA
"vary_k",2000,11,3,"student","SVP Gaussian",0.007000000000005,128,26.1275000000001,147,NA
"vary_k",2000,12,3,"student","SVP Gaussian",0.00600000000000023,114,23.438,97,NA
"vary_k",2000,13,3,"student","SVP Gaussian",0.00699999999999079,100,26.315,91,NA
"vary_k",2000,14,3,"student","SVP Gaussian",0.00600000000000023,127,24.1725,115,NA
"vary_k",2000,15,3,"student","SVP Gaussian",0.007000000000005,99,29.1555,116,NA
"vary_k",2000,16,3,"student","SVP Gaussian",0.00600000000000023,133,21.8335,95,NA
"vary_k",2000,17,3,"student","SVP Gaussian",0.00699999999999079,136,22.3055,110,NA
"vary_k",2000,18,3,"student","SVP Gaussian",0.00699999999999079,102,26.952,106,NA
"vary_k",2000,19,3,"student","SVP Gaussian",0.00600000000000023,113,22.2830000000001,88,NA
"vary_k",2000,20,3,"student","SVP Gaussian",0.00600000000000023,126,22.0045,93,NA
"vary_k",2000,21,3,"student","SVP Gaussian",0.00600000000000023,120,21.5205,79,NA
"vary_k",2000,22,3,"student","SVP Gaussian",0.00600000000000023,119,25.0085,89,NA
"vary_k",2000,23,3,"student","SVP Gaussian",0.00600000000000023,118,21.0285,72,NA
"vary_k",2000,24,3,"student","SVP Gaussian",0.00600000000000023,124,20.812,81,NA
"vary_k",2000,25,3,"student","SVP Gaussian",0.00600000000000023,123,21.8395,78,NA
"vary_k",2000,26,3,"student","SVP Gaussian",0.00600000000000023,133,20.8424999999999,76,NA
"vary_k",2000,27,3,"student","SVP Gaussian",0.00600000000000023,125,21.705,72,NA
