"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",0.3,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0333713404146012,1
"updown",0.3,1,"SVP Wilcoxon",0.142857142857143,0.125,0.133333333333333,0,0.0957645146518149,7
"updown",0.3,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.142857142857143,0.125,0.133333333333333,0,0.0929370844118089,7
"updown",0.3,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0228853163711795,1
"rand1",0.3,1,"PELT",0.0253164556962025,0.25,0.0459770114942529,0,6.06865338357078,79
"rand1",0.3,1,"RFPOP paper",1,0.125,0.222222222222222,0,0.0615572496621224,1
"rand1",0.3,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0574392017661013,1
"rand1",0.3,1,"SVP Wilcoxon",0.166666666666667,0.125,0.142857142857143,0,0.0689217370686356,6
"rand1",0.3,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.166666666666667,0.125,0.142857142857143,0,0.0848100624274431,6
"rand1",0.3,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0615572496621224,1
"none",0.4,1,"PELT",0.0166666666666667,1,0.0327868852459016,0,2.28570957248691,60
"none",0.4,1,"RFPOP paper",1,1,1,1,1.01759723364557e-05,1
"none",0.4,1,"SVP MedianMood",1,1,1,1,0.00023857403345179,1
"none",0.4,1,"SVP Wilcoxon",1,1,1,1,0.00023857403345179,1
"none",0.4,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.00023857403345179,1
"none",0.4,1,"RFPOP (null-matched c=2.75)",1,1,1,1,1.01759723364557e-05,1
"up",0.4,1,"PELT",0.0571428571428571,0.5,0.102564102564103,0,3.37071882599071,70
"up",0.4,1,"RFPOP paper",0.5,0.25,0.333333333333333,0,0.0736431602198475,4
"up",0.4,1,"SVP MedianMood",0.333333333333333,0.125,0.181818181818182,0,0.14055974876875,3
"up",0.4,1,"SVP Wilcoxon",0.333333333333333,0.25,0.285714285714286,0,0.0708945403413118,6
"up",0.4,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.333333333333333,0.25,0.285714285714286,0,0.0666739618345555,6
"up",0.4,1,"RFPOP (null-matched c=2.75)",0.333333333333333,0.125,0.181818181818182,0,0.125633906363971,3
"updown",0.4,1,"PELT",0.0449438202247191,0.5,0.0824742268041237,0,3.91575261959967,89
"updown",0.4,1,"RFPOP paper",1,0.125,0.222222222222222,0,0.0417462114459027,1
"updown",0.4,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0420667049805228,1
"updown",0.4,1,"SVP Wilcoxon",0.25,0.25,0.25,1,0.118343167747465,8
"updown",0.4,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.0982526468506807,7
"updown",0.4,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0417462114459027,1
"rand1",0.4,1,"PELT",0.0384615384615385,0.375,0.0697674418604651,0,7.95061097567144,78
"rand1",0.4,1,"RFPOP paper",1,0.125,0.222222222222222,0,0.0946269500162756,1
"rand1",0.4,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0966995356936608,1
"rand1",0.4,1,"SVP Wilcoxon",0.285714285714286,0.25,0.266666666666667,0,0.0605517278059231,7
"rand1",0.4,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.04441090101131,7
"rand1",0.4,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0946269500162756,1
"none",0.5,1,"PELT",0.0123456790123457,1,0.024390243902439,0,11.7627530944887,81
"none",0.5,1,"RFPOP paper",0.333333333333333,1,0.5,0,0.0530893541438136,3
"none",0.5,1,"SVP MedianMood",1,1,1,1,0.0016566905354642,1
"none",0.5,1,"SVP Wilcoxon",1,1,1,1,0.0016566905354642,1
"none",0.5,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.0016566905354642,1
"none",0.5,1,"RFPOP (null-matched c=2.75)",1,1,1,1,9.6177328919993e-07,1
"up",0.5,1,"PELT",0.0348837209302326,0.375,0.0638297872340425,0,11.2484383113878,86
"up",0.5,1,"RFPOP paper",0.5,0.25,0.333333333333333,0,0.0687353492129908,4
"up",0.5,1,"SVP MedianMood",0.333333333333333,0.125,0.181818181818182,0,0.191845640349257,3
"up",0.5,1,"SVP Wilcoxon",0.142857142857143,0.125,0.133333333333333,0,0.199348539518558,7
"up",0.5,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.0970446069926574,7
"up",0.5,1,"RFPOP (null-matched c=2.75)",0.5,0.25,0.333333333333333,0,0.0687353492129908,4
