"experiment","n","k","rep","method","time","detected"
"vary_n",328,0,5,"SVP MedianMood",0.00800000000000001,2
"vary_n",328,0,5,"SVP BIC multiscale",0.00100000000000033,39
"vary_n",328,0,6,"PELT",0.000999999999999446,26
"vary_n",328,0,6,"SVP Wilcoxon",0,23
"vary_n",328,0,6,"SVP MedianMood",0,1
"vary_n",328,0,6,"SVP BIC multiscale",0.00100000000000033,27
"vary_n",328,0,7,"PELT",0.00100000000000033,27
"vary_n",328,0,7,"SVP Wilcoxon",0.000999999999999446,23
"vary_n",328,0,7,"SVP MedianMood",0,1
"vary_n",328,0,7,"SVP BIC multiscale",0,32
"vary_n",328,0,8,"PELT",0.000999999999999446,31
"vary_n",328,0,8,"SVP Wilcoxon",0,23
"vary_n",328,0,8,"SVP MedianMood",0.0190000000000001,2
"vary_n",328,0,8,"SVP BIC multiscale",0.00100000000000033,34
"vary_n",328,0,9,"PELT",0.000999999999999446,39
"vary_n",328,0,9,"SVP Wilcoxon",0,24
"vary_n",328,0,9,"SVP MedianMood",0,1
"vary_n",328,0,9,"SVP BIC multiscale",0.00100000000000033,42
"vary_n",328,0,10,"PELT",0.000999999999999446,25
"vary_n",328,0,10,"SVP Wilcoxon",0.000999999999999446,24
"vary_n",328,0,10,"SVP MedianMood",0.00599999999999934,2
"vary_n",328,0,10,"SVP BIC multiscale",0,29
"vary_n",371,0,1,"PELT",0.000999999999999446,26
"vary_n",371,0,1,"SVP Wilcoxon",0,26
"vary_n",371,0,1,"SVP MedianMood",0,1
"vary_n",371,0,1,"SVP BIC multiscale",0,33
"vary_n",371,0,2,"PELT",0.000999999999999446,34
"vary_n",371,0,2,"SVP Wilcoxon",0,27
"vary_n",371,0,2,"SVP MedianMood",0,1
"vary_n",371,0,2,"SVP BIC multiscale",0,42
"vary_n",371,0,3,"PELT",0.00100000000000033,36
"vary_n",371,0,3,"SVP Wilcoxon",0,27
"vary_n",371,0,3,"SVP MedianMood",0.0250000000000004,2
"vary_n",371,0,3,"SVP BIC multiscale",0.00100000000000033,49
"vary_n",371,0,4,"PELT",0.00100000000000033,32
"vary_n",371,0,4,"SVP Wilcoxon",0,27
"vary_n",371,0,4,"SVP MedianMood",0.00100000000000033,1
"vary_n",371,0,4,"SVP BIC multiscale",0.00100000000000033,45
"vary_n",371,0,5,"PELT",0,28
"vary_n",371,0,5,"SVP Wilcoxon",0,26
"vary_n",371,0,5,"SVP MedianMood",0.0270000000000001,2
"vary_n",371,0,5,"SVP BIC multiscale",0.000999999999999446,38
"vary_n",371,0,6,"PELT",0.00100000000000033,33
"vary_n",371,0,6,"SVP Wilcoxon",0,28
"vary_n",371,0,6,"SVP MedianMood",0.000999999999999446,1
"vary_n",371,0,6,"SVP BIC multiscale",0.000999999999999446,49
"vary_n",371,0,7,"PELT",0.000999999999999446,25
"vary_n",371,0,7,"SVP Wilcoxon",0,28
"vary_n",371,0,7,"SVP MedianMood",0.0229999999999997,3
"vary_n",371,0,7,"SVP BIC multiscale",0,31
"vary_n",371,0,8,"PELT",0.000999999999999446,36
"vary_n",371,0,8,"SVP Wilcoxon",0,26
"vary_n",371,0,8,"SVP MedianMood",0.0119999999999996,3
"vary_n",371,0,8,"SVP BIC multiscale",0,38
"vary_n",371,0,9,"PELT",0.00100000000000033,28
"vary_n",371,0,9,"SVP Wilcoxon",0,26
"vary_n",371,0,9,"SVP MedianMood",0.00100000000000033,1
"vary_n",371,0,9,"SVP BIC multiscale",0,36
"vary_n",371,0,10,"PELT",0.00100000000000033,35
"vary_n",371,0,10,"SVP Wilcoxon",0,25
"vary_n",371,0,10,"SVP MedianMood",0,1
"vary_n",371,0,10,"SVP BIC multiscale",0.00100000000000033,35
"vary_n",420,0,1,"PELT",0,34
"vary_n",420,0,1,"SVP Wilcoxon",0,29
"vary_n",420,0,1,"SVP MedianMood",0.0170000000000003,2
"vary_n",420,0,1,"SVP BIC multiscale",0.000999999999999446,44
"vary_n",420,0,2,"PELT",0.00100000000000033,40
"vary_n",420,0,2,"SVP Wilcoxon",0,27
"vary_n",420,0,2,"SVP MedianMood",0,1
"vary_n",420,0,2,"SVP BIC multiscale",0.00100000000000033,49
