"pattern","cost","F1","Precision","Recall","CorrectNumCP","MSE","NumSegments","LocalizationError","constant","reps","null_target_f1","decafs_version"
"none","ar1",0.996666666666667,0.996666666666667,0.996666666666667,0.996666666666667,0.015114404068317,1.00333333333333,NA,1.95,100,0.995,"3.3.6"
"none","gaussian",0.996666666666667,0.996666666666667,0.996666666666667,0.996666666666667,0.0151282386233086,1.00333333333333,NA,1.95,100,0.995,"3.3.6"
"rand1","ar1",0.747220602149174,0.919751700680272,0.641768707482993,0.00666666666666664,0.287986953420144,5.66047619047619,2.21428571428571,1.95,100,0.995,"3.3.6"
"rand1","gaussian",0.73477824820682,0.898767573696145,0.632040816326531,0.00666666666666664,0.298459376479324,5.66047619047619,7.35714285714286,1.95,100,0.995,"3.3.6"
"up","ar1",0.779879459165173,0.859485260770975,0.740612244897959,0.567142857142857,0.423151591231592,6.64571428571429,0.313182199832074,1.95,100,0.995,"3.3.6"
"up","gaussian",0.753973148544577,0.827534013605442,0.718095238095238,0.567142857142857,0.44627787307552,6.64571428571429,1.60621326616289,1.95,100,0.995,"3.3.6"
"updown","ar1",0.682288679574394,0.751104308390023,0.660612244897959,0.576190476190476,0.347810221038272,5.89190476190476,0.38099173553719,1.95,100,0.995,"3.3.6"
"updown","gaussian",0.666860644646359,0.728691609977324,0.647006802721088,0.576190476190476,0.368682399522857,5.89190476190476,1.78925619834711,1.95,100,0.995,"3.3.6"
