"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"rand1",1.2,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.844462630142183,1
"rand1",1.2,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.844462630142183,1
"rand1",1.2,1,"SVP AR1Focus multiscale",0.75,0.375,0.5,0,NA,0.450837541279102,4
"none",1.3,1,"PELT inflated",1,1,1,1,NA,0.018030884443739,1
"none",1.3,1,"PELT AR1 approximate",1,1,1,1,NA,0.018030884443739,1
"none",1.3,1,"SVP AR1Focus",1,1,1,1,NA,0.018030884443739,1
"none",1.3,1,"DeCAFS AR1",1,1,1,1,NA,0.018030884443739,1
"none",1.3,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.018030884443739,1
"up",1.3,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,1.09460443882927,3
"up",1.3,1,"PELT AR1 approximate",0.6,0.375,0.461538461538462,0,NA,0.558826349596236,5
"up",1.3,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,2.3175710926469,2
"up",1.3,1,"DeCAFS AR1",0.25,0.125,0.166666666666667,0,NA,0.81638102171086,4
"up",1.3,1,"SVP AR1Focus multiscale",0.25,0.125,0.166666666666667,0,NA,0.827107414906454,4
"updown",1.3,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.452096481428938,1
"updown",1.3,1,"PELT AR1 approximate",1,0.125,0.222222222222222,0,NA,0.452096481428938,1
"updown",1.3,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.452096481428938,1
"updown",1.3,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.452096481428938,1
"updown",1.3,1,"SVP AR1Focus multiscale",1,0.125,0.222222222222222,0,NA,0.452096481428938,1
"rand1",1.3,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.985503317528015,1
"rand1",1.3,1,"PELT AR1 approximate",1,0.5,0.666666666666667,0,NA,0.64025146960991,4
"rand1",1.3,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.985503317528015,1
"rand1",1.3,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.985503317528015,1
"rand1",1.3,1,"SVP AR1Focus multiscale",1,0.625,0.769230769230769,0,NA,0.40232763277016,5
"none",1.4,1,"PELT inflated",1,1,1,1,NA,0.0399622222551001,1
"none",1.4,1,"PELT AR1 approximate",1,1,1,1,NA,0.0399622222551001,1
"none",1.4,1,"SVP AR1Focus",1,1,1,1,NA,0.0399622222551001,1
"none",1.4,1,"DeCAFS AR1",1,1,1,1,NA,0.0399622222551001,1
"none",1.4,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0399622222551001,1
"up",1.4,1,"PELT inflated",0.8,0.5,0.615384615384615,0,NA,0.465917475183269,5
"up",1.4,1,"PELT AR1 approximate",0.8,0.5,0.615384615384615,0,NA,0.465917475183269,5
"up",1.4,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.1357759371825,3
"up",1.4,1,"DeCAFS AR1",0.8,0.5,0.615384615384615,0,NA,0.465917475183269,5
"up",1.4,1,"SVP AR1Focus multiscale",0.8,0.5,0.615384615384615,0,NA,0.465917475183269,5
"updown",1.4,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.512448929909396,1
"updown",1.4,1,"PELT AR1 approximate",1,0.125,0.222222222222222,0,NA,0.512448929909396,1
"updown",1.4,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.512448929909396,1
"updown",1.4,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.512448929909396,1
"updown",1.4,1,"SVP AR1Focus multiscale",0.666666666666667,0.25,0.363636363636364,0,NA,0.427181767495831,3
"rand1",1.4,1,"PELT inflated",1,0.375,0.545454545454545,0,NA,0.787515233674728,3
"rand1",1.4,1,"PELT AR1 approximate",1,0.75,0.857142857142857,0,NA,0.133249329295567,6
"rand1",1.4,1,"SVP AR1Focus",1,0.25,0.4,0,NA,0.934963982545372,2
"rand1",1.4,1,"DeCAFS AR1",1,0.25,0.4,0,NA,0.934963982545372,2
"rand1",1.4,1,"SVP AR1Focus multiscale",1,0.625,0.769230769230769,0,NA,0.422000412209982,5
"none",1.5,1,"PELT inflated",1,1,1,1,NA,0.0626688366554808,1
"none",1.5,1,"PELT AR1 approximate",1,1,1,1,NA,0.0626688366554808,1
"none",1.5,1,"SVP AR1Focus",1,1,1,1,NA,0.0626688366554808,1
"none",1.5,1,"DeCAFS AR1",1,1,1,1,NA,0.0626688366554808,1
"none",1.5,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0626688366554808,1
"up",1.5,1,"PELT inflated",1,0.5,0.666666666666667,0,NA,0.724694523923509,4
"up",1.5,1,"PELT AR1 approximate",1,0.625,0.769230769230769,0,NA,0.584893091983522,5
"up",1.5,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.37796565530559,3
"up",1.5,1,"DeCAFS AR1",1,0.5,0.666666666666667,0,NA,0.724694523923509,4
"up",1.5,1,"SVP AR1Focus multiscale",1,0.625,0.769230769230769,0,NA,0.584893091983522,5
"updown",1.5,1,"PELT inflated",1,0.25,0.4,0,NA,0.565254885152809,2
"updown",1.5,1,"PELT AR1 approximate",1,0.25,0.4,0,NA,0.565254885152809,2
"updown",1.5,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.571879855381061,1
"updown",1.5,1,"DeCAFS AR1",1,0.25,0.4,0,NA,0.565254885152809,2
"updown",1.5,1,"SVP AR1Focus multiscale",1,0.25,0.4,0,NA,0.565254885152809,2
"rand1",1.5,1,"PELT inflated",1,0.375,0.545454545454545,0,NA,0.688334716164077,3
"rand1",1.5,1,"PELT AR1 approximate",1,0.625,0.769230769230769,0,NA,0.32809102254961,5
"rand1",1.5,1,"SVP AR1Focus",1,0.25,0.4,0,NA,1.04639799525312,2
"rand1",1.5,1,"DeCAFS AR1",1,0.375,0.545454545454545,0,NA,0.688334716164077,3
"rand1",1.5,1,"SVP AR1Focus multiscale",1,0.625,0.769230769230769,0,NA,0.32809102254961,5
"none",1.6,1,"PELT inflated",1,1,1,1,NA,0.0049322697618082,1
"none",1.6,1,"PELT AR1 approximate",1,1,1,1,NA,0.0049322697618082,1
"none",1.6,1,"SVP AR1Focus",1,1,1,1,NA,0.0049322697618082,1
"none",1.6,1,"DeCAFS AR1",1,1,1,1,NA,0.0049322697618082,1
"none",1.6,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0049322697618082,1
"up",1.6,1,"PELT inflated",0.75,0.375,0.5,0,NA,1.03444995944914,4
"up",1.6,1,"PELT AR1 approximate",1,0.75,0.857142857142857,0,NA,0.43762976252612,6
"up",1.6,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.49295060765756,3
