"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",256,0,88,"PELT",0.000163636363641353,385,0.0630000000019209,1
"vary_n",256,0,88,"SVP Gaussian / right / c = 1.642",6.49999999950523e-05,800,0.0519999999960419,1
"vary_n",256,0,88,"SVP Gaussian / both / c = 1.987",0.000910714285704931,56,0.0509999999994761,1
"vary_n",256,0,88,"SVP Gaussian / none / c = 0.968",0.000197368421044973,380,0.0749999999970896,1
"vary_n",256,0,89,"SVP Gaussian / right / c = 1.642",6.96428571440525e-05,1120,0.0780000000013388,1
"vary_n",256,0,89,"PELT",0.000169642857144936,560,0.0950000000011642,1
"vary_n",256,0,89,"SVP Gaussian / both / c = 1.987",0.000927272727263202,55,0.0509999999994761,1
"vary_n",256,0,89,"SVP Gaussian / none / c = 0.968",0.000135714285715949,560,0.0760000000009313,1
"vary_n",256,0,90,"PELT",0.000184848484853071,330,0.0610000000015134,1
"vary_n",256,0,90,"SVP Gaussian / both / c = 1.987",0.000982142857148054,56,0.055000000000291,1
"vary_n",256,0,90,"SVP Gaussian / none / c = 0.968",0.000217857142836562,280,0.0609999999942374,1
"vary_n",256,0,90,"SVP Gaussian / right / c = 1.642",6.60714285718963e-05,1120,0.0740000000005239,1
"vary_n",256,0,91,"PELT",0.000155357142856311,560,0.0869999999995343,1
"vary_n",256,0,91,"SVP Gaussian / right / c = 1.642",6.48496240631045e-05,1064,0.0690000000031432,1
"vary_n",256,0,91,"SVP Gaussian / both / c = 1.987",0.00094545454538258,55,0.0519999999960419,1
"vary_n",256,0,91,"SVP Gaussian / none / c = 0.968",0.000160714285708049,560,0.0899999999965075,1
"vary_n",256,0,92,"SVP Gaussian / right / c = 1.642",6.60714285653999e-05,1120,0.0739999999932479,1
"vary_n",256,0,92,"PELT",0.00017559523809853,336,0.059000000001106,1
"vary_n",256,0,92,"SVP Gaussian / none / c = 0.968",0.000176020408152723,392,0.0689999999958673,1
"vary_n",256,0,92,"SVP Gaussian / both / c = 1.987",0.000927272727263202,55,0.0509999999994761,1
"vary_n",256,0,93,"SVP Gaussian / both / c = 1.987",0.000927272727263202,55,0.0509999999994761,1
"vary_n",256,0,93,"PELT",0.000184848484831023,330,0.0609999999942374,1
"vary_n",256,0,93,"SVP Gaussian / none / c = 0.968",6.81818181857869e-05,1100,0.0750000000043656,1
"vary_n",256,0,93,"SVP Gaussian / right / c = 1.642",6.48496240562662e-05,1064,0.0689999999958673,1
"vary_n",256,0,94,"SVP Gaussian / none / c = 0.968",6.72727272732035e-05,1100,0.0740000000005239,1
"vary_n",256,0,94,"SVP Gaussian / right / c = 1.642",6.50717703342598e-05,1045,0.0679999999993015,1
"vary_n",256,0,94,"PELT",0.000187878787872967,330,0.0619999999980791,1
"vary_n",256,0,94,"SVP Gaussian / both / c = 1.987",0.000928571428630676,56,0.0520000000033178,1
"vary_n",256,0,95,"PELT",0.000179220779210045,385,0.0689999999958673,1
"vary_n",256,0,95,"SVP Gaussian / none / c = 0.968",0.000185714285726135,280,0.0520000000033178,1
"vary_n",256,0,95,"SVP Gaussian / both / c = 1.987",0.000964285714352237,56,0.0540000000037253,1
"vary_n",256,0,95,"SVP Gaussian / right / c = 1.642",6.54545454546513e-05,1100,0.0720000000001164,1
"vary_n",256,0,96,"PELT",0.000176785714276256,560,0.0989999999947031,1
"vary_n",256,0,96,"SVP Gaussian / none / c = 0.968",7.14285714289494e-05,770,0.055000000000291,1
"vary_n",256,0,96,"SVP Gaussian / right / c = 1.642",6.60714285718963e-05,1120,0.0740000000005239,1
"vary_n",256,0,96,"SVP Gaussian / both / c = 1.987",0.000981818181753624,55,0.0539999999964493,1
"vary_n",256,0,97,"SVP Gaussian / right / c = 1.642",6.60714285718963e-05,1120,0.0740000000005239,1
"vary_n",256,0,97,"SVP Gaussian / none / c = 0.968",6.98564593269686e-05,1045,0.0729999999966822,1
"vary_n",256,0,97,"PELT",0.00018571428570015,280,0.0519999999960419,1
"vary_n",256,0,97,"SVP Gaussian / both / c = 1.987",0.00094545454551487,55,0.0520000000033178,1
"vary_n",256,0,98,"PELT",0.00016607142857278,560,0.0930000000007567,1
"vary_n",256,0,98,"SVP Gaussian / none / c = 0.968",8.75000000048333e-05,1120,0.0980000000054133,1
"vary_n",256,0,98,"SVP Gaussian / right / c = 1.642",6.78571428579744e-05,1120,0.0760000000009313,1
"vary_n",256,0,98,"SVP Gaussian / both / c = 1.987",0.000927272727263202,55,0.0509999999994761,1
"vary_n",256,0,99,"SVP Gaussian / none / c = 0.968",7.58928571420776e-05,1120,0.0849999999991269,1
"vary_n",256,0,99,"SVP Gaussian / right / c = 1.642",6.50717703342598e-05,1045,0.0679999999993015,1
"vary_n",256,0,99,"PELT",0.000168831168837216,385,0.0650000000023283,1
"vary_n",256,0,99,"SVP Gaussian / both / c = 1.987",0.000854545454521113,110,0.0939999999973224,1
"vary_n",256,0,100,"SVP Gaussian / both / c = 1.987",0.000952380952401741,84,0.0800000000017462,1
"vary_n",256,0,100,"SVP Gaussian / right / c = 1.642",6.37499999993452e-05,800,0.0509999999994761,1
"vary_n",256,0,100,"SVP Gaussian / none / c = 0.968",0.000104545454550217,660,0.0690000000031432,1
"vary_n",256,0,100,"PELT",0.000167857142852362,560,0.0939999999973224,1
"vary_n",319,0,1,"SVP Gaussian / both / c = 1.987",0.00157142857148886,56,0.088000000003376,1
"vary_n",319,0,1,"SVP Gaussian / none / c = 0.968",0.000239473684211445,380,0.0910000000003492,1
"vary_n",319,0,1,"SVP Gaussian / right / c = 1.642",7.14285714236342e-05,1120,0.0799999999944703,1
"vary_n",319,0,1,"PELT",0.000203571428573923,280,0.0570000000006985,1
"vary_n",319,0,2,"PELT",0.000182142857140986,280,0.0509999999994761,1
"vary_n",319,0,2,"SVP Gaussian / right / c = 1.642",7.18181818162768e-05,1100,0.0789999999979045,1
"vary_n",319,0,2,"SVP Gaussian / none / c = 0.968",0.000239473684211445,380,0.0910000000003492,1
"vary_n",319,0,2,"SVP Gaussian / both / c = 1.987",0.00148214285724992,56,0.0830000000059954,1
"vary_n",319,0,3,"SVP Gaussian / both / c = 1.987",0.00158928571428467,56,0.0889999999999418,1
"vary_n",319,0,3,"PELT",0.000247368421064733,380,0.0940000000045984,1
"vary_n",319,0,3,"SVP Gaussian / none / c = 0.968",7.23214285699214e-05,1120,0.080999999998312,1
"vary_n",319,0,3,"SVP Gaussian / right / c = 1.642",7.18181818162768e-05,1100,0.0789999999979045,1
"vary_n",319,0,4,"SVP Gaussian / both / c = 1.987",0.00155357142856311,56,0.0869999999995343,1
"vary_n",319,0,4,"SVP Gaussian / none / c = 0.968",7.464114832664e-05,1045,0.0780000000013388,1
"vary_n",319,0,4,"SVP Gaussian / right / c = 1.642",7.0909090910308e-05,1100,0.0780000000013388,1
"vary_n",319,0,4,"PELT",0.000236363636378717,220,0.0520000000033178,1
"vary_n",319,0,5,"PELT",0.000244736842088107,380,0.0929999999934807,1
"vary_n",319,0,5,"SVP Gaussian / both / c = 1.987",0.00155357142856311,56,0.0869999999995343,1
"vary_n",319,0,5,"SVP Gaussian / none / c = 0.968",0.000140306122449722,392,0.055000000000291,1
"vary_n",319,0,5,"SVP Gaussian / right / c = 1.642",7.18181818162768e-05,1100,0.0789999999979045,1
"vary_n",319,0,6,"PELT",0.000225454545474019,275,0.0620000000053551,1
"vary_n",319,0,6,"SVP Gaussian / right / c = 1.642",7.14285714294467e-05,1064,0.0760000000009313,1
"vary_n",319,0,6,"SVP Gaussian / none / c = 0.968",7.18181818228913e-05,1100,0.0790000000051805,1
"vary_n",319,0,6,"SVP Gaussian / both / c = 1.987",0.00151785714284155,56,0.0849999999991269,1
"vary_n",319,0,7,"SVP Gaussian / right / c = 1.642",6.87500000003638e-05,800,0.055000000000291,1
"vary_n",319,0,7,"PELT",0.000236363636378717,220,0.0520000000033178,1
"vary_n",319,0,7,"SVP Gaussian / both / c = 1.987",0.00142857142860261,56,0.0800000000017462,1
"vary_n",319,0,7,"SVP Gaussian / none / c = 0.968",0.00026315789475216,190,0.0500000000029104,1
"vary_n",319,0,8,"SVP Gaussian / both / c = 1.987",0.0015357142857673,56,0.0860000000029686,1
"vary_n",319,0,8,"SVP Gaussian / none / c = 0.968",0.000333333333357933,168,0.0560000000041327,1
"vary_n",319,0,8,"PELT",0.000199999999996649,330,0.065999999998894,1
"vary_n",319,0,8,"SVP Gaussian / right / c = 1.642",7.09090909036935e-05,1100,0.0779999999940628,1
"vary_n",319,0,9,"PELT",0.00020000000001476,280,0.0560000000041327,1
