"experiment","n","k","rep","method","time","detected"
"vary_n",397,0,2,"SVP BIC calibrated",0,1
"vary_n",397,0,2,"SVP BIC multiscale",0.00400000000000045,2
"vary_n",397,0,3,"PELT",0.000999999999999446,1
"vary_n",397,0,3,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,3,"SVP BIC calibrated",0,1
"vary_n",397,0,3,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,4,"PELT",0.00100000000000033,1
"vary_n",397,0,4,"SVP BIC",0,1
"vary_n",397,0,4,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,4,"SVP BIC multiscale",0.00399999999999956,1
"vary_n",397,0,5,"PELT",0.00100000000000033,1
"vary_n",397,0,5,"SVP BIC",0,1
"vary_n",397,0,5,"SVP BIC calibrated",0,1
"vary_n",397,0,5,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,6,"PELT",0,1
"vary_n",397,0,6,"SVP BIC",0,1
"vary_n",397,0,6,"SVP BIC calibrated",0,1
"vary_n",397,0,6,"SVP BIC multiscale",0.00399999999999956,2
"vary_n",397,0,7,"PELT",0,1
"vary_n",397,0,7,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,7,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,7,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,8,"PELT",0,1
"vary_n",397,0,8,"SVP BIC",0.000999999999999446,1
"vary_n",397,0,8,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,8,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,9,"PELT",0,1
"vary_n",397,0,9,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,9,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",397,0,9,"SVP BIC multiscale",0.00399999999999956,2
"vary_n",397,0,10,"PELT",0,1
"vary_n",397,0,10,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,10,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",397,0,10,"SVP BIC multiscale",0.00400000000000045,1
"vary_n",397,0,11,"PELT",0,1
"vary_n",397,0,11,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,11,"SVP BIC calibrated",0,1
"vary_n",397,0,11,"SVP BIC multiscale",0.00400000000000045,1
"vary_n",397,0,12,"PELT",0.00100000000000033,1
"vary_n",397,0,12,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,12,"SVP BIC calibrated",0,1
"vary_n",397,0,12,"SVP BIC multiscale",0.00400000000000045,1
"vary_n",397,0,13,"PELT",0,1
"vary_n",397,0,13,"SVP BIC",0,1
"vary_n",397,0,13,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,13,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,14,"PELT",0.00100000000000033,1
"vary_n",397,0,14,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,14,"SVP BIC calibrated",0,1
"vary_n",397,0,14,"SVP BIC multiscale",0.00300000000000011,2
"vary_n",397,0,15,"PELT",0,1
"vary_n",397,0,15,"SVP BIC",0,1
"vary_n",397,0,15,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,15,"SVP BIC multiscale",0.00199999999999978,3
"vary_n",397,0,16,"PELT",0,1
"vary_n",397,0,16,"SVP BIC",0.000999999999999446,1
"vary_n",397,0,16,"SVP BIC calibrated",0,1
"vary_n",397,0,16,"SVP BIC multiscale",0.00300000000000011,2
"vary_n",397,0,17,"PELT",0.00100000000000033,1
"vary_n",397,0,17,"SVP BIC",0.000999999999999446,1
"vary_n",397,0,17,"SVP BIC calibrated",0,1
"vary_n",397,0,17,"SVP BIC multiscale",0.00399999999999956,2
"vary_n",397,0,18,"PELT",0.00100000000000033,1
"vary_n",397,0,18,"SVP BIC",0,1
"vary_n",397,0,18,"SVP BIC calibrated",0,1
"vary_n",397,0,18,"SVP BIC multiscale",0.00300000000000011,2
"vary_n",397,0,19,"PELT",0.00100000000000033,1
"vary_n",397,0,19,"SVP BIC",0,1
"vary_n",397,0,19,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,19,"SVP BIC multiscale",0.00499999999999989,1
"vary_n",397,0,20,"PELT",0.00100000000000033,1
"vary_n",397,0,20,"SVP BIC",0.00100000000000033,1
"vary_n",397,0,20,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",397,0,20,"SVP BIC multiscale",0.00300000000000011,2
"vary_n",494,0,1,"PELT",0.00100000000000033,1
"vary_n",494,0,1,"SVP BIC",0,1
"vary_n",494,0,1,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",494,0,1,"SVP BIC multiscale",0.00499999999999989,2
"vary_n",494,0,2,"PELT",0.00100000000000033,1
"vary_n",494,0,2,"SVP BIC",0,1
"vary_n",494,0,2,"SVP BIC calibrated",0.00100000000000033,1
"vary_n",494,0,2,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",494,0,3,"PELT",0.000999999999999446,1
"vary_n",494,0,3,"SVP BIC",0.000999999999999446,1
"vary_n",494,0,3,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",494,0,3,"SVP BIC multiscale",0.00600000000000023,1
"vary_n",494,0,4,"PELT",0,1
"vary_n",494,0,4,"SVP BIC",0.00100000000000122,1
"vary_n",494,0,4,"SVP BIC calibrated",0,1
"vary_n",494,0,4,"SVP BIC multiscale",0.004999999999999,3
"vary_n",494,0,5,"PELT",0,1
"vary_n",494,0,5,"SVP BIC",0.00100000000000122,1
"vary_n",494,0,5,"SVP BIC calibrated",0.000999999999999446,1
"vary_n",494,0,5,"SVP BIC multiscale",0.0080000000000009,1
"vary_n",494,0,6,"PELT",0,1
"vary_n",494,0,6,"SVP BIC",0,1
"vary_n",494,0,6,"SVP BIC calibrated",0.000999999999999446,1
