"experiment","n","k","rep","method","time_baseline","detected_baseline","time_shortcuts","detected_shortcuts","detected_equal","speedup"
"vary_k",10000,1,2,"PELT",0.0460000000000065,2,0.0460000000000491,2,TRUE,0.999999999999074
"vary_k",10000,1,2,"SVP BIC",1.07300000000001,2,1.31499999999994,2,TRUE,0.815969581749094
"vary_k",10000,1,2,"SVP BIC calibrated",1.074,2,1.322,2,TRUE,0.812405446293495
"vary_k",10000,1,2,"SVP BIC multiscale",1.416,2,1.50199999999995,2,TRUE,0.942743009320937
"vary_k",10000,1,3,"PELT",0.0460000000000065,2,0.0460000000000491,2,TRUE,0.999999999999074
"vary_k",10000,1,3,"SVP BIC",1.09399999999999,2,1.29700000000003,2,TRUE,0.843484965304522
"vary_k",10000,1,3,"SVP BIC calibrated",1.08,2,1.29499999999996,2,TRUE,0.83397683397686
"vary_k",10000,1,3,"SVP BIC multiscale",1.42099999999999,2,1.47399999999993,2,TRUE,0.964043419267339
"vary_k",10000,1,4,"PELT",0.0460000000000065,2,0.0490000000000919,2,TRUE,0.938775510202454
"vary_k",10000,1,4,"SVP BIC",1.07400000000001,2,1.31399999999996,2,TRUE,0.817351598173548
"vary_k",10000,1,4,"SVP BIC calibrated",1.071,2,1.30600000000004,2,TRUE,0.820061255742701
"vary_k",10000,1,4,"SVP BIC multiscale",1.43199999999999,2,1.57500000000005,2,TRUE,0.909206349206314
"vary_k",10000,1,5,"PELT",0.0470000000000113,2,0.0500000000000682,2,TRUE,0.939999999998944
"vary_k",10000,1,5,"SVP BIC",1.12,2,1.30899999999997,2,TRUE,0.855614973262052
"vary_k",10000,1,5,"SVP BIC calibrated",1.08200000000001,2,1.32899999999995,2,TRUE,0.814145974416893
"vary_k",10000,1,5,"SVP BIC multiscale",1.453,2,1.50400000000002,2,TRUE,0.966090425531902
"vary_k",10000,1,6,"PELT",0.0480000000000018,2,0.0469999999999118,2,TRUE,1.02127659574664
"vary_k",10000,1,6,"SVP BIC",1.098,2,1.31200000000001,2,TRUE,0.836890243902433
"vary_k",10000,1,6,"SVP BIC calibrated",1.077,2,1.28499999999997,2,TRUE,0.838132295719864
"vary_k",10000,1,6,"SVP BIC multiscale",1.41399999999999,2,1.47500000000002,2,TRUE,0.95864406779659
"vary_k",10000,1,7,"PELT",0.0459999999999923,2,0.0490000000000919,2,TRUE,0.938775510202164
"vary_k",10000,1,7,"SVP BIC",1.078,2,1.27600000000007,2,TRUE,0.84482758620685
"vary_k",10000,1,7,"SVP BIC calibrated",1.06700000000001,2,1.26800000000003,2,TRUE,0.841482649842259
"vary_k",10000,1,7,"SVP BIC multiscale",1.399,2,1.44999999999993,2,TRUE,0.964827586206943
"vary_k",10000,1,8,"PELT",0.0460000000000065,2,0.0470000000000255,2,TRUE,0.978723404254926
"vary_k",10000,1,8,"SVP BIC",1.068,2,1.28800000000001,2,TRUE,0.829192546583845
"vary_k",10000,1,8,"SVP BIC calibrated",1.068,2,1.27599999999995,2,TRUE,0.836990595611318
"vary_k",10000,1,8,"SVP BIC multiscale",1.429,2,1.43399999999997,2,TRUE,0.996513249651346
"vary_k",10000,1,9,"PELT",0.0389999999999873,2,0.0379999999998972,2,TRUE,1.02631578947613
"vary_k",10000,1,9,"SVP BIC",1.08,2,1.27299999999991,2,TRUE,0.848389630793461
"vary_k",10000,1,9,"SVP BIC calibrated",1.001,3,1.21299999999997,3,TRUE,0.82522671063481
"vary_k",10000,1,9,"SVP BIC multiscale",1.128,4,1.19899999999996,4,TRUE,0.940783986655577
"vary_k",10000,10,1,"PELT",0.0100000000000193,11,0.0099999999999909,11,TRUE,1.00000000000284
"vary_k",10000,10,1,"SVP BIC",0.224999999999994,11,0.242000000000075,11,TRUE,0.92975206611539
"vary_k",10000,10,1,"SVP BIC calibrated",0.225999999999999,11,0.244000000000028,11,TRUE,0.926229508196611
"vary_k",10000,10,1,"SVP BIC multiscale",0.236000000000018,11,0.25,11,TRUE,0.944000000000072
"vary_k",10000,10,10,"PELT",0.00900000000001455,11,0.0119999999999436,11,TRUE,0.750000000004738
"vary_k",10000,10,10,"SVP BIC",0.228000000000009,11,0.238999999999919,11,TRUE,0.95397489539785
"vary_k",10000,10,10,"SVP BIC calibrated",0.22799999999998,11,0.240999999999985,11,TRUE,0.946058091286283
"vary_k",10000,10,10,"SVP BIC multiscale",0.239000000000004,11,0.247999999999934,11,TRUE,0.963709677419627
"vary_k",10000,10,2,"PELT",0.0100000000000193,11,0.00899999999990087,11,TRUE,1.11111111112549
"vary_k",10000,10,2,"SVP BIC",0.225999999999999,11,0.237999999999943,11,TRUE,0.949579831932996
"vary_k",10000,10,2,"SVP BIC calibrated",0.224999999999994,11,0.242999999999938,11,TRUE,0.925925925926138
"vary_k",10000,10,2,"SVP BIC multiscale",0.235000000000014,11,0.257000000000062,11,TRUE,0.914396887159367
"vary_k",10000,10,3,"PELT",0.0099999999999909,11,0.0099999999999909,11,TRUE,1
"vary_k",10000,10,3,"SVP BIC",0.225999999999999,11,0.241999999999962,11,TRUE,0.933884297520804
"vary_k",10000,10,3,"SVP BIC calibrated",0.227000000000004,11,0.284000000000106,11,TRUE,0.799295774647603
"vary_k",10000,10,3,"SVP BIC multiscale",0.23599999999999,11,0.376999999999953,11,TRUE,0.625994694960264
"vary_k",10000,10,4,"PELT",0.00900000000001455,11,0.0109999999999673,11,TRUE,0.818181818185573
"vary_k",10000,10,4,"SVP BIC",0.225999999999999,11,0.243999999999915,11,TRUE,0.92622950819704
"vary_k",10000,10,4,"SVP BIC calibrated",0.227000000000004,11,0.250999999999976,11,TRUE,0.904382470119624
