"k","n","SVP","SVP_nchanges","PELT","PELT_nchanges","penalty_svp","penalty_pelt"
0,10000,0.0440000000000111,1,0.0349999999999966,1,36.8413614879047,18.4206807439524
0,10000,0.0439999999999969,1,0.0880000000000081,1,36.8413614879047,18.4206807439524
0,10000,0.0400000000000063,1,0.0870000000000033,1,36.8413614879047,18.4206807439524
0,10000,0.0430000000000064,1,0.0729999999999933,1,36.8413614879047,18.4206807439524
0,10000,0.0429999999999922,1,0.0739999999999981,1,36.8413614879047,18.4206807439524
0,10000,0.041000000000011,1,0.0379999999999967,1,36.8413614879047,18.4206807439524
0,10000,0.039999999999992,1,0.0779999999999887,1,36.8413614879047,18.4206807439524
0,10000,0.039999999999992,1,0.0400000000000063,1,36.8413614879047,18.4206807439524
0,10000,0.0420000000000016,1,0.0630000000000024,1,36.8413614879047,18.4206807439524
0,10000,0.0430000000000064,1,0.0570000000000022,1,36.8413614879047,18.4206807439524
1,10000,0.937999999999988,2,0.0360000000000014,2,36.8413614879047,18.4206807439524
1,10000,0.940999999999988,2,0.0439999999999969,2,36.8413614879047,18.4206807439524
1,10000,0.903000000000006,2,0.0380000000000109,2,36.8413614879047,18.4206807439524
1,10000,0.933000000000007,2,0.0420000000000016,2,36.8413614879047,18.4206807439524
1,10000,0.944000000000003,2,0.0449999999999875,2,36.8413614879047,18.4206807439524
1,10000,0.924000000000007,2,0.046999999999997,2,36.8413614879047,18.4206807439524
1,10000,0.924999999999997,2,0.046999999999997,2,36.8413614879047,18.4206807439524
1,10000,0.924999999999997,2,0.034000000000006,2,36.8413614879047,18.4206807439524
1,10000,0.930000000000007,2,0.041000000000011,2,36.8413614879047,18.4206807439524
1,10000,0.923000000000002,2,0.034000000000006,2,36.8413614879047,18.4206807439524
2,10000,0.812999999999988,3,0.0280000000000058,3,36.8413614879047,18.4206807439524
2,10000,0.801999999999992,3,0.0309999999999917,3,36.8413614879047,18.4206807439524
2,10000,0.828000000000003,3,0.0300000000000011,3,36.8413614879047,18.4206807439524
2,10000,0.804999999999993,3,0.0279999999999916,3,36.8413614879047,18.4206807439524
2,10000,0.807000000000002,3,0.027000000000001,3,36.8413614879047,18.4206807439524
2,10000,0.825000000000003,3,0.0300000000000011,3,36.8413614879047,18.4206807439524
2,10000,0.809999999999988,3,0.0289999999999964,3,36.8413614879047,18.4206807439524
2,10000,0.805999999999997,3,0.0289999999999964,3,36.8413614879047,18.4206807439524
2,10000,0.810000000000002,3,0.0289999999999964,3,36.8413614879047,18.4206807439524
2,10000,0.815999999999988,3,0.0300000000000011,3,36.8413614879047,18.4206807439524
3,10000,0.670999999999992,4,0.0229999999999961,4,36.8413614879047,18.4206807439524
3,10000,0.676000000000002,4,0.019999999999996,4,36.8413614879047,18.4206807439524
3,10000,0.679000000000002,4,0.0200000000000102,4,36.8413614879047,18.4206807439524
3,10000,0.680000000000007,4,0.0220000000000056,4,36.8413614879047,18.4206807439524
3,10000,0.680999999999997,4,0.0219999999999914,4,36.8413614879047,18.4206807439524
3,10000,0.676000000000002,4,0.0229999999999961,4,36.8413614879047,18.4206807439524
3,10000,0.687000000000012,4,0.0220000000000056,4,36.8413614879047,18.4206807439524
3,10000,0.674999999999997,4,0.0280000000000058,4,36.8413614879047,18.4206807439524
3,10000,0.675000000000011,4,0.0220000000000056,4,36.8413614879047,18.4206807439524
3,10000,0.658999999999992,4,0.0240000000000009,4,36.8413614879047,18.4206807439524
4,10000,0.584999999999994,5,0.0180000000000007,5,36.8413614879047,18.4206807439524
4,10000,0.572999999999993,5,0.0170000000000101,5,36.8413614879047,18.4206807439524
4,10000,0.570000000000007,5,0.0159999999999911,5,36.8413614879047,18.4206807439524
4,10000,0.570999999999998,5,0.0169999999999959,5,36.8413614879047,18.4206807439524
4,10000,0.566999999999993,5,0.0180000000000007,5,36.8413614879047,18.4206807439524
4,10000,0.570000000000007,5,0.0160000000000053,5,36.8413614879047,18.4206807439524
4,10000,0.561999999999998,5,0.0169999999999959,5,36.8413614879047,18.4206807439524
4,10000,0.566000000000003,5,0.0169999999999959,5,36.8413614879047,18.4206807439524
4,10000,0.558999999999997,5,0.0169999999999959,5,36.8413614879047,18.4206807439524
4,10000,0.572000000000003,5,0.0180000000000007,5,36.8413614879047,18.4206807439524
