"n","PELT","PELT_nchanges","SVP","SVP_nchanges"
1024,0.00300000000001432,1,0.00300000000001432,1
1024,0.032999999999987,1,0.00300000000001432,1
1024,0.00200000000000955,1,0.0029999999999859,1
1024,0.00100000000000477,1,0.00300000000001432,1
1024,0.00100000000000477,1,0.00200000000000955,1
1024,0.00199999999998113,1,0.0029999999999859,1
1024,0.00100000000000477,1,0.00200000000000955,1
1024,0.00100000000000477,1,0.00200000000000955,1
1024,0.00100000000000477,1,0.0029999999999859,1
1024,0.00100000000000477,1,0.00300000000001432,1
1024,0.000999999999976353,1,0.00200000000000955,1
1024,0.00200000000000955,1,0.0029999999999859,1
1024,0.00100000000000477,1,0.00199999999998113,1
1024,0.00100000000000477,1,0.00200000000000955,1
1024,0.00100000000000477,1,0.0029999999999859,1
1024,0.00200000000000955,1,0.00200000000000955,1
1024,0.000999999999976353,1,0.0029999999999859,1
1024,0.00100000000000477,1,0.00200000000000955,1
1024,0.00199999999998113,1,0.00200000000000955,1
1024,0.00100000000000477,1,0.00199999999998113,1
1185,0.00100000000000477,1,0.0029999999999859,1
1185,0.00200000000000955,1,0.0029999999999859,1
1185,0.0370000000000061,1,0.00200000000000955,1
1185,0.00199999999998113,1,0.0029999999999859,1
1185,0.00100000000000477,1,0.00300000000001432,1
1185,0.00199999999998113,1,0.0040000000000191,1
1185,0.00199999999998113,1,0.0029999999999859,1
1185,0.00200000000000955,1,0.00399999999999068,1
1185,0.00200000000000955,1,0.00200000000000955,1
1185,0.00100000000000477,1,0.0029999999999859,1
1185,0.00200000000000955,1,0.0029999999999859,1
1185,0.00100000000000477,1,0.00300000000001432,1
1185,0.00100000000000477,1,0.00300000000001432,1
1185,0.000999999999976353,1,0.00300000000001432,1
1185,0.00199999999998113,1,0.0029999999999859,1
1185,0.00199999999998113,1,0.00300000000001432,1
1185,0.00200000000000955,1,0.0029999999999859,1
1185,0.00199999999998113,1,0.00300000000001432,1
1185,0.00199999999998113,1,0.00300000000001432,1
1185,0.00199999999998113,1,0.00200000000000955,1
1371,0.00199999999998113,1,0.0040000000000191,1
1371,0.00199999999998113,1,0.00399999999999068,1
1371,0.00200000000000955,1,0.0029999999999859,1
1371,0.00200000000000955,1,0.00300000000001432,1
1371,0.00200000000000955,1,0.0029999999999859,1
1371,0.00200000000000955,1,0.00499999999999545,1
1371,0.00200000000000955,1,0.00399999999999068,1
1371,0.00200000000000955,1,0.00399999999999068,1
1371,0.00200000000000955,1,0.00399999999999068,1
1371,0.00199999999998113,1,0.0040000000000191,1
1371,0.00200000000000955,1,0.0040000000000191,1
1371,0.00199999999998113,1,0.00300000000001432,1
1371,0.00300000000001432,1,0.0040000000000191,1
1371,0.00200000000000955,1,0.00300000000001432,1
1371,0.00200000000000955,1,0.00399999999999068,1
1371,0.00200000000000955,1,0.00399999999999068,1
1371,0.00200000000000955,1,0.00300000000001432,1
1371,0.0029999999999859,1,0.00399999999999068,1
1371,0.0029999999999859,1,0.00399999999999068,1
1371,0.00199999999998113,1,0.0040000000000191,1
1586,0.0029999999999859,1,0.00399999999999068,1
1586,0.0040000000000191,1,0.00499999999999545,1
1586,0.00200000000000955,1,0.0040000000000191,1
1586,0.0029999999999859,1,0.00600000000000023,1
1586,0.00399999999999068,1,0.00399999999999068,1
1586,0.00200000000000955,1,0.0040000000000191,1
1586,0.0029999999999859,1,0.0040000000000191,1
