"method","range","exponent","lower","upper"
"SVP Gaussian / right / c = 1.642","full grid",0.828299260432634,0.826946867713589,0.830092115991406
"SVP Gaussian / right / c = 1.642","upper half",1.01434910561794,1.00821909414075,1.01851934563489
"SVP Gaussian / none / c = 0.968","full grid",1.85904886351604,1.79159267291684,1.9404472539383
"SVP Gaussian / none / c = 0.968","upper half",1.90692968688537,1.66941957937667,2.15212033247852
"SVP Gaussian / both / c = 1.987","full grid",2.0941407501058,2.09177604853206,2.09565584246702
"SVP Gaussian / both / c = 1.987","upper half",2.07016936320758,2.06757354284512,2.07649306442329
"PELT","full grid",1.72194099347476,1.70654049049026,1.73576248245949
"PELT","upper half",1.92447812496215,1.87583008941638,1.97378262789489
