"method","candidate","null_f1","null_f1_lower","null_f1_upper","recovered_one_segment","reps","seed","n","oracle_segments","stage","rfpop_target_f1","rfpop_target_lower","rfpop_target_upper","target_difference","selected","validation_reps","validation_seed","gaussian_pelt_null_f1","gaussian_pelt_null_f1_lower","gaussian_pelt_null_f1_upper","student_pelt_null_f1","student_pelt_null_f1_lower","student_pelt_null_f1_upper","rfpop_target_nominal","calibration_seed","gaussian_pelt_reps"
"RFPOP",2,0.8797,0.875118415456567,0.884135752362427,17594,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.11645,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",2.5,0.9781,0.975977937148531,0.980038437974622,19562,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.01805,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",3,0.99615,0.99519125713074,0.996918185490787,19923,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",3.5,0.999,0.998455814062435,0.999352533953573,19980,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00285000000000002,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",4,0.99985,0.999559036372707,0.999948985182005,19997,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00370000000000004,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
