"method","candidate","null_f1","null_f1_lower","null_f1_upper","recovered_one_segment","reps","seed","n","oracle_segments","stage","rfpop_target_f1","rfpop_target_lower","rfpop_target_upper","target_difference","selected","validation_reps","validation_seed","gaussian_pelt_null_f1","gaussian_pelt_null_f1_lower","gaussian_pelt_null_f1_upper","student_pelt_null_f1","student_pelt_null_f1_lower","student_pelt_null_f1_upper","rfpop_target_nominal","calibration_seed","gaussian_pelt_reps"
"RFPOP",2,0.8797,0.875118415456567,0.884135752362427,17594,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.11645,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",2.5,0.9781,0.975977937148531,0.980038437974622,19562,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.01805,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",3,0.99615,0.99519125713074,0.996918185490787,19923,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",3.5,0.999,0.998455814062435,0.999352533953573,19980,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00285000000000002,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",4,0.99985,0.999559036372707,0.999948985182005,19997,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00370000000000004,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",1.25,0.901,0.896783506355494,0.90506248072751,18020,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.09515,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",1.5,0.97545,0.973212285288871,0.977505107625379,19509,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.0206999999999999,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",1.75,0.99485,0.993758515774734,0.995751426140539,19897,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.00129999999999997,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",2,0.9992,0.998700779771725,0.999507491429861,19984,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00305,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",2.25,0.9999,0.999635426386379,0.999972575964727,19998,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00375000000000003,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",1e-04,0.9997,0.999345578879248,0.999862500286281,19994,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00355000000000005,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",5e-04,0.9992,0.998700779771725,0.999507491429861,19984,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.00305,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",0.001,0.99815,0.997451211360994,0.998657463116309,19963,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,0.002,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",0.005,0.9916,0.990237342301489,0.992773847848149,19832,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.00454999999999994,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",0.01,0.98425,0.982429123811428,0.985884889268235,19685,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.0119,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",0.02,0.9696,0.967128946809663,0.971890692926444,19392,20000,910000,1000,1,"calibration",0.99615,0.99519125713074,0.996918185490787,-0.02655,FALSE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"RFPOP",3,0.9958,0.994328104183776,0.996891123031861,9958,10000,920000,1000,1,"validation",0.99615,0.99519125713074,0.996918185490787,-0.000349999999999961,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"Wilcoxon",1.75,0.9951,0.993528391576189,0.996291373237167,9951,10000,920000,1000,1,"validation",0.99615,0.99519125713074,0.996918185490787,-0.00105,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
"MedianMood",0.001,0.9979,0.996791606127464,0.998626008295016,9979,10000,920000,1000,1,"validation",0.99615,0.99519125713074,0.996918185490787,0.00175000000000003,TRUE,10000,920000,0.987,0.981019691482797,0.991113104465263,0,0,0.000383998370676595,0.99,910000,2000
