"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"updown",0.4,1,"SVP BIC",1,0.125,0.222222222222222,0,NA,0.0449800578060646,1
"updown",0.4,1,"SVP BIC multiscale",1,0.125,0.222222222222222,0,NA,0.0449800578060646,1
"rand1",0.4,1,"PELT",0.5,0.375,0.428571428571429,0,NA,0.0185603357624416,6
"rand1",0.4,1,"SVP BIC calibrated",0.5,0.25,0.333333333333333,0,NA,0.0464839250187267,4
"rand1",0.4,1,"SVP BIC",0.333333333333333,0.125,0.181818181818182,0,NA,0.0612418355546065,3
"rand1",0.4,1,"SVP BIC multiscale",0.5,0.375,0.428571428571429,0,NA,0.0370119846347276,6
"none",0.5,1,"PELT",1,1,1,1,NA,0.00111576526090892,1
"none",0.5,1,"SVP BIC calibrated",1,1,1,1,NA,0.00111576526090892,1
"none",0.5,1,"SVP BIC",1,1,1,1,NA,0.00111576526090892,1
"none",0.5,1,"SVP BIC multiscale",1,1,1,1,NA,0.00111576526090892,1
"up",0.5,1,"PELT",0.333333333333333,0.25,0.285714285714286,0,NA,0.0459360624197725,6
"up",0.5,1,"SVP BIC calibrated",0.4,0.25,0.307692307692308,0,NA,0.0644483413137219,5
"up",0.5,1,"SVP BIC",0.5,0.25,0.333333333333333,0,NA,0.0999760777388739,4
"up",0.5,1,"SVP BIC multiscale",0.4,0.25,0.307692307692308,0,NA,0.0644483413137219,5
"updown",0.5,1,"PELT",0.333333333333333,0.125,0.181818181818182,0,NA,0.0752463367291872,3
"updown",0.5,1,"SVP BIC calibrated",0.333333333333333,0.125,0.181818181818182,0,NA,0.0752463367291872,3
"updown",0.5,1,"SVP BIC",1,0.25,0.4,0,NA,0.0552033536635291,2
"updown",0.5,1,"SVP BIC multiscale",1,0.25,0.4,0,NA,0.0552033536635291,2
"rand1",0.5,1,"PELT",0.5,0.25,0.333333333333333,0,NA,0.0775796386974368,4
"rand1",0.5,1,"SVP BIC calibrated",0.5,0.25,0.333333333333333,0,NA,0.0775796386974368,4
"rand1",0.5,1,"SVP BIC",0.5,0.25,0.333333333333333,0,NA,0.0775796386974368,4
"rand1",0.5,1,"SVP BIC multiscale",0.5,0.25,0.333333333333333,0,NA,0.0775796386974368,4
"none",0.6,1,"PELT",1,1,1,1,NA,0.00898566391963234,1
"none",0.6,1,"SVP BIC calibrated",1,1,1,1,NA,0.00898566391963234,1
"none",0.6,1,"SVP BIC",1,1,1,1,NA,0.00898566391963234,1
"none",0.6,1,"SVP BIC multiscale",1,1,1,1,NA,0.00898566391963234,1
"up",0.6,1,"PELT",0.428571428571429,0.375,0.4,0,NA,0.0480555188008028,7
