"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",0.8,"SVP MedianMood",1,1,1,1,0.0128550561384639,1,0.993333333333333,0.99,1,0.98,0.0131810870588055,1.02,0.00666666666666671,0.01,0,0.02,-0.000326030920341624,-0.02
"none",0.8,"SVP Wilcoxon",1,1,1,1,0.0128550561384639,1,0.996666666666667,0.995,1,0.99,0.0135854695838575,1.01,0.0033333333333333,0.005,0,0.01,-0.00073041344539361,-0.01
"none",0.9,"PELT",0,0,0,0,8.65021297312406,78.37,0.0257952005470379,0.0130703972984722,1,0,8.65021297312406,78.37,-0.0257952005470379,-0.0130703972984722,-1,0,0,0
"none",0.9,"RFPOP",1,1,1,1,0.00228989077710999,1,0.931666666666667,0.905,1,0.84,0.00939561256892292,1.25,0.0683333333333334,0.095,0,0.16,-0.00710572179181294,-0.25
"none",0.9,"SVP MedianMood",1,1,1,1,0.00896670715531631,1,0.996666666666667,0.995,1,0.99,0.00943049592790901,1.01,0.0033333333333333,0.005,0,0.01,-0.000463788772592701,-0.01
"none",0.9,"SVP Wilcoxon",1,1,1,1,0.00896670715531631,1,0.986666666666667,0.98,1,0.96,0.0113725060913766,1.04,0.0133333333333333,0.02,0,0.04,-0.00240579893606025,-0.04
"none",1,"PELT",0,0,0,0,7.24147231283392,78.55,0.0256082286009067,0.0129733604239361,1,0,7.24147231283392,78.55,-0.0256082286009067,-0.0129733604239361,-1,0,0,0
"none",1,"RFPOP",1,1,1,1,0.00194751753596857,1,0.95,0.93,1,0.88,0.00807833626956333,1.18,0.05,0.07,0,0.12,-0.00613081873359476,-0.18
"none",1,"SVP MedianMood",1,1,1,1,0.00760988509912182,1,0.996666666666667,0.995,1,0.99,0.00817741358752015,1.01,0.0033333333333333,0.005,0,0.01,-0.000567528488398329,-0.01
"none",1,"SVP Wilcoxon",1,1,1,1,0.00760988509912182,1,0.986666666666667,0.98,1,0.96,0.0106778700674829,1.04,0.0133333333333333,0.02,0,0.04,-0.00306798496836111,-0.04
