"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",0.4,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.125,0.222222222222222,0,0.0403038001015957,1
"rand1",0.4,1,"PELT",0.666666666666667,0.25,0.363636363636364,0,0.0211631881037416,3
"rand1",0.4,1,"SVP",0.5,0.25,0.333333333333333,0,0.0179606797994273,4
"rand1",0.4,1,"SVP (BIC)",0.5,0.125,0.2,0,0.0405034001919422,2
"rand1",0.4,1,"SVP FOCUS TRUE/TRUE c=1.8",0.666666666666667,0.25,0.363636363636364,0,0.0211631881037416,3
"none",0.5,1,"PELT",1,1,1,1,0.000768320587706598,1
"none",0.5,1,"SVP",1,1,1,1,0.000768320587706598,1
"none",0.5,1,"SVP (BIC)",1,1,1,1,0.000768320587706598,1
"none",0.5,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000768320587706598,1
"up",0.5,1,"PELT",0.5,0.375,0.428571428571429,0,0.0478355571499309,6
"up",0.5,1,"SVP",0.6,0.375,0.461538461538462,0,0.0627765571113976,5
"up",0.5,1,"SVP (BIC)",0.25,0.125,0.166666666666667,0,0.0799603291636937,4
"up",0.5,1,"SVP FOCUS TRUE/TRUE c=1.8",0.5,0.375,0.428571428571429,0,0.0478355571499309,6
"updown",0.5,1,"PELT",0.5,0.125,0.2,0,0.0596309075117088,2
"updown",0.5,1,"SVP",0.5,0.125,0.2,0,0.0600466090787085,2
"updown",0.5,1,"SVP (BIC)",1,0.125,0.222222222222222,0,0.0648442940910737,1
"updown",0.5,1,"SVP FOCUS TRUE/TRUE c=1.8",1,0.125,0.222222222222222,0,0.0648442940910737,1
"rand1",0.5,1,"PELT",0.666666666666667,0.25,0.363636363636364,0,0.0290665010754521,3
"rand1",0.5,1,"SVP",0.666666666666667,0.25,0.363636363636364,0,0.0290665010754521,3
"rand1",0.5,1,"SVP (BIC)",0.666666666666667,0.25,0.363636363636364,0,0.0290665010754521,3
"rand1",0.5,1,"SVP FOCUS TRUE/TRUE c=1.8",0.666666666666667,0.25,0.363636363636364,0,0.0290665010754521,3
"none",0.6,1,"PELT",1,1,1,1,0.000230422837500287,1
"none",0.6,1,"SVP",1,1,1,1,0.000230422837500287,1
"none",0.6,1,"SVP (BIC)",1,1,1,1,0.000230422837500287,1
"none",0.6,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.000230422837500287,1
"up",0.6,1,"PELT",0.25,0.25,0.25,1,0.02514761524983,8
"up",0.6,1,"SVP",0.333333333333333,0.25,0.285714285714286,0,0.0735830164536205,6
"up",0.6,1,"SVP (BIC)",0.2,0.125,0.153846153846154,0,0.131532434046631,5
"up",0.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.333333333333333,0.25,0.285714285714286,0,0.0735830164536205,6
"updown",0.6,1,"PELT",0.5,0.25,0.333333333333333,0,0.0813013408949722,4
"updown",0.6,1,"SVP",0.75,0.375,0.5,0,0.0613903951902543,4
"updown",0.6,1,"SVP (BIC)",0.5,0.125,0.2,0,0.0931295332206542,2
"updown",0.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.333333333333333,0.125,0.181818181818182,0,0.0892026023531478,3
"rand1",0.6,1,"PELT",0.6,0.375,0.461538461538462,0,0.011253300502628,5
"rand1",0.6,1,"SVP",0.5,0.25,0.333333333333333,0,0.0349957344315419,4
"rand1",0.6,1,"SVP (BIC)",0.666666666666667,0.25,0.363636363636364,0,0.08153536496495,3
"rand1",0.6,1,"SVP FOCUS TRUE/TRUE c=1.8",0.5,0.25,0.333333333333333,0,0.0355606992009069,4
"none",0.7,1,"PELT",1,1,1,1,0.0010550173683794,1
"none",0.7,1,"SVP",1,1,1,1,0.0010550173683794,1
"none",0.7,1,"SVP (BIC)",1,1,1,1,0.0010550173683794,1
