"pattern","jump","rep","algorithm","Precision","Recall","F1","NumSegments","MSE"
"none",0.1,33,"SVP (BIC)",1,1,1,1,0.00150103936572225
"none",0.1,34,"PELT",1,1,1,1,0.00034950563409881
"none",0.1,34,"SVP",1,1,1,1,0.00034950563409881
"none",0.1,34,"SVP (BIC)",1,1,1,1,0.00034950563409881
"none",0.1,35,"PELT",1,1,1,1,0.000391691541603423
"none",0.1,35,"SVP",1,1,1,1,0.000391691541603423
"none",0.1,35,"SVP (BIC)",1,1,1,1,0.000391691541603423
"none",0.1,36,"PELT",1,1,1,1,2.712751573952e-05
"none",0.1,36,"SVP",1,1,1,1,2.712751573952e-05
"none",0.1,36,"SVP (BIC)",1,1,1,1,2.712751573952e-05
"none",0.1,37,"PELT",1,1,1,1,0.00283459273212142
"none",0.1,37,"SVP",1,1,1,1,0.00283459273212142
"none",0.1,37,"SVP (BIC)",1,1,1,1,0.00283459273212142
"none",0.1,38,"PELT",1,1,1,1,5.0726699340614e-05
"none",0.1,38,"SVP",1,1,1,1,5.0726699340614e-05
"none",0.1,38,"SVP (BIC)",1,1,1,1,5.0726699340614e-05
"none",0.1,39,"PELT",1,1,1,1,0.000181230940873783
"none",0.1,39,"SVP",1,1,1,1,0.000181230940873783
"none",0.1,39,"SVP (BIC)",1,1,1,1,0.000181230940873783
"none",0.1,40,"PELT",1,1,1,1,0.000201458168064714
"none",0.1,40,"SVP",1,1,1,1,0.000201458168064714
"none",0.1,40,"SVP (BIC)",1,1,1,1,0.000201458168064714
"none",0.1,41,"PELT",1,1,1,1,0.00105724198032272
"none",0.1,41,"SVP",1,1,1,1,0.00105724198032272
"none",0.1,41,"SVP (BIC)",1,1,1,1,0.00105724198032272
"none",0.1,42,"PELT",1,1,1,1,0.00314016390067837
"none",0.1,42,"SVP",1,1,1,1,0.00314016390067837
"none",0.1,42,"SVP (BIC)",1,1,1,1,0.00314016390067837
"none",0.1,43,"PELT",1,1,1,1,6.25992602748526e-12
"none",0.1,43,"SVP",1,1,1,1,6.25992602748526e-12
"none",0.1,43,"SVP (BIC)",1,1,1,1,6.25992602748526e-12
"none",0.1,44,"PELT",1,1,1,1,3.43182138106176e-05
"none",0.1,44,"SVP",1,1,1,1,3.43182138106176e-05
"none",0.1,44,"SVP (BIC)",1,1,1,1,3.43182138106176e-05
"none",0.1,45,"PELT",1,1,1,1,8.49238731646845e-05
"none",0.1,45,"SVP",1,1,1,1,8.49238731646845e-05
"none",0.1,45,"SVP (BIC)",1,1,1,1,8.49238731646845e-05
"none",0.1,46,"PELT",1,1,1,1,0.00216071054637893
"none",0.1,46,"SVP",1,1,1,1,0.00216071054637893
"none",0.1,46,"SVP (BIC)",1,1,1,1,0.00216071054637893
